id,chapter,title,tier,type,fixed_prefix,concept,human_problem,black_plan,memory_rule,surprise_editorial_1_5,opponent_burden_editorial_1_5,our_simplicity_editorial_1_5,learning_longevity_editorial_1_5,human_pressure_editorial_mean_1_5,engine_worst_grade_fixed_moves,engine_max_loss_cp_fixed_moves,validation_humaine
LON-01,Londres — noyau ...Qb6,La dame blanche s’échange : ...c4!,Essentiel,critique,1. d4 d5 2. Nf3 Nf6 3. Bf4 c5 4. e3 Nc6 5. c3 Qb6 6. Qb3 c4 7. Qxb6 axb6,Fermer le centre avec gain de temps et accepter les pions doublés pour ouvrir la colonne a.,Le joueur du Londres pense neutraliser la pression par un échange de dames ; il sous-estime la structure active des Noirs.,"Jouer ...b5, ...Bf5 et utiliser la colonne a ; le fou f4 manque souvent de bonnes cases.","Qb3 ? Répondre c4 ; après l’échange, la colonne a paie les pions doublés.",5,4,5,5,4.75,A,0,À MESURER — aucune fréquence ou probabilité Maia/Lichess revendiquée
LON-02,Londres — noyau ...Qb6,La dame recule en c2 : ...Bf5,Club,critique,1. d4 d5 2. Nf3 Nf6 3. Bf4 c5 4. e3 Nc6 5. c3 Qb6 6. Qb3 c4 7. Qc2 Bf5,Développer avec tempo sur la dame et obtenir une version améliorée du développement noir.,Le recul Qc2 paraît naturel mais autorise un second gain de temps.,"Après ...Bf5, développer ...e6, ...Be7 et choisir entre ...Nh5 et ...e5.",Une dame déplacée deux fois doit être interrogée une troisième fois.,4,4,5,5,4.5,A,0,À MESURER — aucune fréquence ou probabilité Maia/Lichess revendiquée
LON-03,Londres — noyau ...Qb6,La finale asymétrique : le plan ...b5,Avancé,structure,1. d4 d5 2. Nf3 Nf6 3. Bf4 c5 4. e3 Nc6 5. c3 Qb6 6. Qb3 c4 7. Qxb6 axb6 8. Nbd2 b5,Transformer une faiblesse statique apparente en majorité d’espace et colonne ouverte.,Les Blancs évaluent souvent les pions b6-b7 comme faibles sans voir la poussée ...b5-b4.,"Fixer l’aile-dame, développer le fou c8 en f5 et doubler les tours sur la colonne a.",Les pions doublés ne sont faibles que s’ils ne bougent pas et si la colonne ouverte ne sert à rien.,4,4,4,5,4.25,A,0,À MESURER — aucune fréquence ou probabilité Maia/Lichess revendiquée
LON-04,Londres — noyau ...Qb6,Qc1 et reprise par le pion e,Essentiel,critique,1. d4 d5 2. Nf3 Nf6 3. Bf4 c5 4. e3 Nc6 5. c3 Qb6 6. Qc1 cxd4 7. exd4 Bf5,Clarifier le centre puis développer le fou avant ...e6.,Qc1 défend b2 mais enferme la tour a1 et laisse les Noirs gagner l’initiative de développement.,"Mettre le fou en f5, jouer ...e6 et exploiter la colonne c semi-ouverte.","Quand la dame retourne en c1, ouvre la colonne c avant qu’elle ne ressorte.",3,3,5,5,4.0,A,15,À MESURER — aucune fréquence ou probabilité Maia/Lichess revendiquée
LON-05,Londres — noyau ...Qb6,Qc1 et reprise par le pion c,Club,structure,1. d4 d5 2. Nf3 Nf6 3. Bf4 c5 4. e3 Nc6 5. c3 Qb6 6. Qc1 cxd4 7. cxd4 Bf5,Forcer une structure de Carlsbad inversée où les Noirs ont déjà développé activement.,La reprise cxd4 paraît saine mais laisse c3 vide et facilite ...Nb4.,"Développer ...e6, viser b4 et mettre une tour en c8.","Après cxd4, la case b4 devient une vraie destination.",3,3,4,5,3.75,A,15,À MESURER — aucune fréquence ou probabilité Maia/Lichess revendiquée
LON-06,Londres — noyau ...Qb6,Qc2 : poser la question avec ...Nh5,Essentiel,pratique,1. d4 d5 2. Nf3 Nf6 3. Bf4 c5 4. e3 Nc6 5. c3 Qb6 6. Qc2 Nh5 7. Bg3 Nxg3 8. hxg3,Échanger le fou du Londres et provoquer une structure qui offre des cibles.,Les Blancs veulent conserver leur fou et acceptent souvent une reprise h qui modifie leur roque.,"Jouer ...g6, ...Bg7 et ouvrir la colonne h seulement si le roi blanc y roque.","Q protégée, fou exposé : ...Nh5 devient possible.",4,4,5,5,4.5,A,5,À MESURER — aucune fréquence ou probabilité Maia/Lichess revendiquée
LON-07,Londres — noyau ...Qb6,Le fou se cache en g5 : ...h6 et ...g5,Club,pratique,1. d4 d5 2. Nf3 Nf6 3. Bf4 c5 4. e3 Nc6 5. c3 Qb6 6. Qc2 Nh5 7. Bg5 h6 8. Bh4 g5,"Gagner de l’espace sur l’aile-roi sans mettre son roi en danger, car le centre est contrôlé.",Le fou blanc suit un automatisme de conservation et finit par manquer de cases.,"Poursuivre par ...g4 si le cavalier f3 est mal placé, sinon consolider avec ...Bg7.",Ne pousse pas les pions pour attaquer le roi : pousse-les pour emprisonner le fou.,5,5,4,4,4.5,A,0,À MESURER — aucune fréquence ou probabilité Maia/Lichess revendiquée
LON-08,Londres — noyau ...Qb6,Qc2 puis prise en c5,Club,critique,1. d4 d5 2. Nf3 Nf6 3. Bf4 c5 4. e3 Nc6 5. c3 Qb6 6. Qc2 Nh5 7. dxc5 Qxc5,Récupérer le pion avec activité et conserver la pression sur le fou.,Les Blancs espèrent profiter du cavalier en h5 pour voler le pion c5.,"Développer ...g6, ...Bg7 et utiliser la colonne c ; le cavalier h5 garde la paire de fous sous pression.",Le pion c5 n’est pas gratuit quand la dame noire reprend avec tempo.,3,3,4,5,3.75,A,5,À MESURER — aucune fréquence ou probabilité Maia/Lichess revendiquée
LON-09,Londres — noyau ...Qb6,b3 protège b2 : développer avec ...Bg4,Essentiel,structure,1. d4 d5 2. Nf3 Nf6 3. Bf4 c5 4. e3 Nc6 5. c3 Qb6 6. b3 Bg4,Répondre à une concession de case sombre par un développement actif.,b3 règle un problème immédiat mais affaiblit c3 et ralentit le développement du cavalier b1.,"Mettre la pression sur f3, jouer ...e6 et échanger en d4 au bon moment.","Quand b2 est sauvé par b3, change de cible : f3 et d4.",3,3,5,5,4.0,A,2,À MESURER — aucune fréquence ou probabilité Maia/Lichess revendiquée
LON-10,Londres — noyau ...Qb6,Le pion c5 “gratuit” : ...Qxb2!,Essentiel,pratique,1. d4 d5 2. Nf3 Nf6 3. Bf4 c5 4. e3 Nc6 5. c3 Qb6 6. dxc5 Qxb2 7. Nbd2 Qxc3,"Exploiter la surcharge de la dame blanche : elle ne peut défendre c5, b2 et le développement.",Le joueur du système voit un pion en c5 et oublie que sa tour a1 est encore enfermée.,"Rentrer par a5 ou c3, puis développer ; ne pas collectionner les pions sans voie de sortie.","Avant de prendre c5, compte b2 — deux fois.",5,5,4,4,4.5,A,0,À MESURER — aucune fréquence ou probabilité Maia/Lichess revendiquée
LON-11,Londres — noyau ...Qb6,Nbd2 laisse b2 : la route de sortie ...Qxc3,Club,critique,1. d4 d5 2. Nf3 Nf6 3. Bf4 c5 4. e3 Nc6 5. c3 Qb6 6. Nbd2 Qxb2 7. Rb1 Qxc3,Prendre b2 seulement lorsque la dame dispose d’une case de fuite concrète.,"Rb1 ressemble à un gain de dame, mais c3 devient la case d’évacuation.","Après ...Qxc3, répondre au développement par ...Bd7 ou ...cxd4 et ramener la dame.",Une dame n’est pas piégée si elle peut sortir par la case que le pion c vient de quitter.,5,5,3,4,4.25,A,4,À MESURER — aucune fréquence ou probabilité Maia/Lichess revendiquée
LON-12,Londres — noyau ...Qb6,Bd3 oublie b2,Essentiel,pratique,1. d4 d5 2. Nf3 Nf6 3. Bf4 c5 4. e3 Nc6 5. c3 Qb6 6. Bd3 Qxb2 7. Nbd2 Qxc3,Punir un développement automatique qui ne répond pas à la menace immédiate.,"Bd3 est le coup “du système”, mais la position exige d’abord de traiter b2.","Après le gain de pion, neutraliser e4 et finir le développement sans précipitation.",Un coup normal peut être une gaffe s’il ignore une question concrète.,5,5,5,4,4.75,A,0,À MESURER — aucune fréquence ou probabilité Maia/Lichess revendiquée
LON-13,Londres — noyau ...Qb6,h3 : un tempo de trop,Essentiel,pratique,1. d4 d5 2. Nf3 Nf6 3. Bf4 c5 4. e3 Nc6 5. c3 Qb6 6. h3 Qxb2 7. Nbd2 c4,Convertir un tempo lent en gain de pion puis en espace.,h3 est un automatisme prophylactique ; il ne protège ni b2 ni d4.,"Fixer le fou d3 avec ...c4, puis mettre la dame à l’abri.","Quand l’adversaire joue un luxe, encaisse la dette sur b2.",5,5,4,4,4.5,A,0,À MESURER — aucune fréquence ou probabilité Maia/Lichess revendiquée
