line_id,bias_code,title,key_move_uci,key_move_san,key_move_loss_cp,key_move_rank_multipv,key_move_gate,best_move_uci,best_move_san,best_eval_mover_cp,candidate_eval_mover_cp,principal_variation_uci,principal_variation_san,nodes,engine_id
ORD-01,B1,2.Bf4 : ...c5 puis le clouage ...Bg4,c8g4,Bg4,0,2,PASS,c5d4,cxd4,-18,-18,c8g4,Bg4,500000,Stockfish 18
ORD-02,B1,2.Bf4 et 3.c3 : revenir au plan ...Nc6,d8b6,Qb6,0,1,PASS,d8b6,Qb6,-10,-10,d8b6 d1c2,Qb6 Qc2,500000,Stockfish 18
COL-01,B1,3.e3 : sortir le fou avec ...Bf5,e7e6,e6,0,1,PASS,e7e6,e6,-15,-15,e7e6 c2c4 d5c4 d3c4 c7c5 d1b3,e6 c4 dxc4 Bxc4 c5 Qb3,500000,Stockfish 18
COL-10,B1,Zukertort : frapper par ...c5,b8c6,Nc6,0,2,PASS,c5d4,cxd4,-10,-10,b8c6 f1d3 c5d4 e3d4 f8d6 b1d2 b7b6 e1g1 e8g8 a2a3 c8b7 f1e1 a8c8 a1c1 c6e7 f3e5 c8c7 d1e2 d8a8,Nc6 Bd3 cxd4 exd4 Bd6 Nbd2 b6 O-O O-O a3 Bb7 Re1 Rc8 Rc1 Ne7 Ne5 Rc7 Qe2 Qa8,500000,Stockfish 18
VER-01,B1,3...c5 : attaquer d4 immédiatement,e7e6,e6,0,1,PASS,e7e6,e6,23,23,e7e6 g1f3 f8e7 d4c5 e8g8 a2a3 e7c5 f1d3 h7h6 g5h4 c5e7 h2h3 b8d7 e1g1 d7c5 f1e1,e6 Nf3 Be7 dxc5 O-O a3 Bxc5 Bd3 h6 Bh4 Be7 h3 Nbd7 O-O Nc5 Re1,500000,Stockfish 18
LON-02,B2,La dame recule en c2 : ...Bf5,c8f5,Bf5,0,1,PASS,c8f5,Bf5,29,29,c8f5 c2c1 f6h5 f4g3 h5g3 h2g3 g7g6 f1e2 h7h5 b2b3 c4b3 a2b3 f8g7 b1d2 e8g8 e1g1 f8c8,Bf5 Qc1 Nh5 Bg3 Nxg3 hxg3 g6 Be2 h5 b3 cxb3 axb3 Bg7 Nbd2 O-O O-O Rfc8,500000,Stockfish 18
LON-04,B2,Qc1 et reprise par le pion e,c8f5,Bf5,1,2,PASS,h7h6,h6,19,18,c8f5 b1d2 h7h6 f1e2 e7e6 h2h3 a8c8,Bf5 Nbd2 h6 Be2 e6 h3 Rc8,500000,Stockfish 18
LON-09,B2,b3 protège b2 : développer avec ...Bg4,c8g4,Bg4,0,1,PASS,c8g4,Bg4,18,18,c8g4 h2h3 g4f3 d1f3 g7g6 f1d3 f8g7 e1g1 e8g8 b1d2 f6h5 f4h2 c5d4 c3d4,Bg4 h3 Bxf3 Qxf3 g6 Bd3 Bg7 O-O O-O Nd2 Nh5 Bh2 cxd4 cxd4,500000,Stockfish 18
JOB-12,B2,4.Nb1 : la pression ...Qb6,d8b6,Qb6,0,1,PASS,d8b6,Qb6,180,180,d8b6 g1f3 b6b2 b1d2 b2c3 a1b1 c5d4 b1b3 c3a5,Qb6 Nf3 Qxb2 Nbd2 Qc3 Rb1 cxd4 Rb3 Qa5,500000,Stockfish 18
TOR-10,B2,Bf4 puis ...Qb6 : double pression,d8b6,Qb6,0,1,PASS,d8b6,Qb6,8,8,d8b6,Qb6,500000,Stockfish 18
LON-01,B3,La dame blanche s’échange : ...c4!,a7b6,axb6,0,1,PASS,a7b6,axb6,53,53,a7b6 f1e2 c8f5 b1d2 b6b5 f3e5 h7h5 e1g1 e7e6 a2a3 f8e7 e2f3 h5h4 h2h3 h8g8 f4h2 c6e5 h2e5,axb6 Be2 Bf5 Nbd2 b5 Ne5 h5 O-O e6 a3 Be7 Bf3 h4 h3 Rg8 Bh2 Nxe5 Bxe5,500000,Stockfish 18
LON-03,B3,La finale asymétrique : le plan ...b5,b6b5,b5,0,1,PASS,b6b5,b5,52,52,b6b5 f1e2 h7h6 e1g1 c8f5 f3e5 e7e6 g2g4 f5h7 a2a3 g7g5 f4g3 h6h5 g4h5 h7f5,b5 Be2 h6 O-O Bf5 Ne5 e6 g4 Bh7 a3 g5 Bg3 h5 gxh5 Bf5,500000,Stockfish 18
LON-05,B3,Qc1 et reprise par le pion c,c8f5,Bf5,0,1,PASS,c8f5,Bf5,15,15,c8f5 b1c3,Bf5 Nc3,500000,Stockfish 18
JOB-11,B3,4.Bxb8 : reprendre avec la tour,a8b8,Rxb8,0,1,PASS,a8b8,Rxb8,96,96,a8b8 e2e3 a7a6 d4c5 e7e6 d1d4 d8c7 d4f4 c7f4 e3f4 f8c5 f1d3 f6g4 c3d1 c8d7 g1f3 f7f6,Rxb8 e3 a6 dxc5 e6 Qd4 Qc7 Qf4 Qxf4 exf4 Bxc5 Bd3 Ng4 Nd1 Bd7 Nf3 f6,500000,Stockfish 18
VER-05,B3,4.Bxf6 : reprendre du pion g,g7f6,gxf6,0,1,PASS,g7f6,gxf6,8,8,g7f6 e2e3,gxf6 e3,500000,Stockfish 18
LON-10,B4,Le pion c5 “gratuit” : ...Qxb2!,b2c3,Qxc3,0,2,PASS,e7e6,e6,64,64,b2c3 a1c1 c3a5 f1d3 g7g6 e1g1 f8g7 d2b3 a5a3 b3d4,Qxc3 Rc1 Qa5 Bd3 g6 O-O Bg7 Nb3 Qa3 Nbd4,500000,Stockfish 18
LON-11,B4,Nbd2 laisse b2 : la route de sortie ...Qxc3,b2c3,Qxc3,0,1,PASS,b2c3,Qxc3,46,46,b2c3 f1b5 c5d4 e3d4 c8d7 e1g1 a7a6 b5c6 d7c6 f1e1 e7e6 e1e3 c3a5 f3e5 c6a4,Qxc3 Bb5 cxd4 exd4 Bd7 O-O a6 Bxc6 Bxc6 Re1 e6 Re3 Qa5 Ne5 Ba4,500000,Stockfish 18
LON-12,B4,Bd3 oublie b2,b2c3,Qxc3,0,1,PASS,b2c3,Qxc3,132,132,b2c3 d3b5 c8d7 a1b1 c5d4 e3d4 e7e6 e1g1 c3a5 d1e2 f8e7 d2b3 a5d8,Qxc3 Bb5 Bd7 Rb1 cxd4 exd4 e6 O-O Qa5 Qe2 Be7 Nb3 Qd8,500000,Stockfish 18
LON-15,B4,Qa4 ne sauve pas b2 : ...Qxb2,b6b2,Qxb2,0,1,PASS,b6b2,Qxb2,157,157,b6b2 f1b5 c8d7 e1g1 b2a1 b5c6 b7c6 a4b3 c5c4 b3b7 a8c8 f3e5 d7f5 b1a3 a1c3,Qxb2 Bb5 Bd7 O-O Qxa1 Bxc6 bxc6 Qb3 c4 Qb7 Rc8 Ne5 Bf5 Na3 Qxc3,500000,Stockfish 18
PST-04,B4,3.Bxh6? : accepter le sacrifice,h8h6,Rxh6,0,1,PASS,h8h6,Rxh6,397,397,h8h6 e2e3 e7e6 g1f3 c7c5 a2a3 c8d7 d4c5 f8c5,Rxh6 e3 e6 Nf3 c5 a3 Bd7 dxc5 Bxc5,500000,Stockfish 18
LON-06,B5,Qc2 : poser la question avec ...Nh5,h2g3,hxg3,0,1,PASS,h2g3,hxg3,-35,-35,h2g3 g7g6 b1d2 f8g7 f1e2 e8g8 c2b3 f8d8 e1g1 c8g4 b3b5 c5d4,hxg3 g6 Nbd2 Bg7 Be2 O-O Qb3 Rd8 O-O Bg4 Qb5 cxd4,500000,Stockfish 18
LON-07,B5,Le fou se cache en g5 : ...h6 et ...g5,g7g5,g5,18,2,PASS,c5d4,cxd4,77,59,g7g5 h4g3 g5g4 d4c5 b6c5 f3d4 h5g3 d4b3 c5b6 h2g3 f8g7 f1e2 e7e5,g5 Bg3 g4 dxc5 Qxc5 Nd4 Nxg3 Nb3 Qb6 hxg3 Bg7 Be2 e5,500000,Stockfish 18
TOR-02,B5,4.Bh4 : le coup machine ...h5!,h7h5,h5,0,1,PASS,h7h5,h5,61,61,h7h5 b1d2 f7f6 d2e4 d5e4,h5 Nbd2 f6 Nxe4 dxe4,500000,Stockfish 18
TOR-05,B5,4.h4 : ignorer l’intimidation,c7c5,c5,0,1,PASS,c7c5,c5,47,47,c7c5 e2e3 d8b6 b1d2 f7f6 g5f4 c5d4 e3d4 e7e5 f4e3 e4d2 f3d2 e5d4 e3f4 c8f5 d2b3,c5 e3 Qb6 Nbd2 f6 Bf4 cxd4 exd4 e5 Be3 Nxd2 Nxd2 exd4 Bf4 Bf5 Nb3,500000,Stockfish 18
PST-01,B5,2.Bg5 : demander au fou avec ...h6,c7c5,c5,0,1,PASS,c7c5,c5,20,20,c7c5 e2e3 c5d4 e3d4 b8c6 f1b5 d8b6 b1c3 e7e6 g1f3 f8e7 b5c6 b7c6 h4e7 g8e7,c5 e3 cxd4 exd4 Nc6 Bb5 Qb6 Nc3 e6 Nf3 Be7 Bxc6+ bxc6 Bxe7 Nxe7,500000,Stockfish 18
ORD-09,B6,h4 précoce : riposter au centre,b8d7,Nbd7,0,1,PASS,b8d7,Nbd7,118,118,b8d7 d4b3 e7e5 f4g3 f8d6 b1c3 d6b4,Nbd7 Nb3 e5 Bg3 Bd6 Nc3 Bb4,500000,Stockfish 18
TOR-08,B6,4.e3 : le coup concret ...f6,f7f6,f6,0,1,PASS,f7f6,f6,84,84,f7f6 g5f4 g7g5 f3g5 e4g5 f4g5 f6g5 d1h5 e8d7 c2c4 e7e6,f6 Bf4 g5 Nxg5 Nxg5 Bxg5 fxg5 Qh5+ Kd7 c4 e6,500000,Stockfish 18
TOR-09,B6,Bh4-h5-f6 : échanger puis enfermer,g7g5,g5,0,1,PASS,g7g5,g5,191,191,g7g5 h4g5 f6g5 f1e2 g5g4 h2h3 h8g8 c2c4 c7c6 h3g4 h5g4 c4d5 c6d5 a1c1 b8c6 d2b3 e7e6 b3c5 f8c5,g5 Bxg5 fxg5 Be2 g4 h3 Rg8 c4 c6 hxg4 hxg4 cxd5 cxd5 Rc1 Nc6 Nb3 e6 Nc5 Bxc5,500000,Stockfish 18
STO-01,B6,Stonewall : fermer par ...c4!,c8f5,Bf5,2,2,PASS,b8c6,Nc6,43,41,c8f5 b2b3 b7b5 a2a4 b8c6 a4b5 c6b4 b1a3 c4b3 c2b3 f6e4 c1d2 e7e5 g1f3 e5f4 e1g1 f8d6 f3e5,Bf5 b3 b5 a4 Nc6 axb5 Nb4 Na3 cxb3 cxb3 Ne4 Bd2 e5 Nf3 exf4 O-O Bd6 Ne5,500000,Stockfish 18
BDG-01,B6,Blackmar-Diemer : accepter avec ...exf3,c8f5,Bf5,17,2,PASS,g7g6,g6,76,59,c8f5 f3e5 f5e6 d1f3 c7c6 c1e3 g7g6 e1c1 f8g7 d4d5 c6d5,Bf5 Ne5 Be6 Qf3 c6 Be3 g6 O-O-O Bg7 d5 cxd5,500000,Stockfish 18
ORD-10,B7,h3 précoce : prendre l’initiative,d8b6,Qb6,0,1,PASS,d8b6,Qb6,59,59,d8b6 e2e3 b6b2 b1d2 a7a6 a1b1 b2a3 c2c4 b8d7 f4h2,Qb6 e3 Qxb2 Nd2 a6 Rb1 Qa3 c4 Nbd7 Bh2,500000,Stockfish 18
JOB-06,B7,4.f3 : ouvrir d4 avant l’attaque,b8c6,Nc6,0,1,PASS,b8c6,Nc6,231,231,b8c6 d4d2 e7e5 f4g5 d5d4 c3d1 h7h6 g5f6 d8f6 e2e4 f8b4 c2c3 b4c5 f1d3 c8e6 g1e2 d4c3 d2c3,Nc6 Qd2 e5 Bg5 d4 Nd1 h6 Bxf6 Qxf6 e4 Bb4 c3 Bc5 Bd3 Be6 Ne2 dxc3 Qxc3,500000,Stockfish 18
JOB-09,B7,4.a3 : un tempo décoratif,b8c6,Nc6,0,1,PASS,b8c6,Nc6,194,194,b8c6 d4d3 e7e5 f4g5 d5d4 c3d1 d8a5 g5d2 a5d5 e2e3 f8e7 d3b3 d5d6 f1c4 e8g8,Nc6 Qd3 e5 Bg5 d4 Nd1 Qa5+ Bd2 Qd5 e3 Be7 Qb3 Qd6 Bc4 O-O,500000,Stockfish 18
JOB-10,B7,4.h4 : même sanction centrale,b8c6,Nc6,0,1,PASS,b8c6,Nc6,240,240,b8c6 d4d3 e7e5 f4g5 d5d4 c3d1 d8d5 c2c3 f6e4 g1f3 h7h6 g5d2 c8f5 e2e3,Nc6 Qd3 e5 Bg5 d4 Nd1 Qd5 c3 Ne4 Nf3 h6 Bd2 Bf5 e3,500000,Stockfish 18
VER-08,B7,4.f3 : ouvrir avant e4,b8c6,Nc6,0,1,PASS,b8c6,Nc6,152,152,b8c6 d4d2 d5d4 c3d1 h7h6 g5h4 d8b6 h4f2 e7e5 e2e4 c8e6 c2c3 f8c5 f1d3 e8g8 g1e2 f8d8 e1g1 d4c3 d2c3 c5f2 d1f2 c6b4,Nc6 Qd2 d4 Nd1 h6 Bh4 Qb6 Bf2 e5 e4 Be6 c3 Bc5 Bd3 O-O Ne2 Rfd8 O-O dxc3 Qxc3 Bxf2+ Nxf2 Nb4,500000,Stockfish 18
JOB-03,B8,4.dxc5 : la poussée machine ...d4!,d5d4,d4,0,1,PASS,d5d4,d4,74,74,d5d4 c3b1 e7e5 f4e5 b8c6 e5f6 d8f6 g2g3 f8c5 f1g2 c8f5 g1f3 g7g5 b1d2 e8c8 e1g1,d4 Nb1 e5 Bxe5 Nc6 Bxf6 Qxf6 g3 Bxc5 Bg2 Bf5 Nf3 g5 Nbd2 O-O-O O-O,500000,Stockfish 18
JOB-04,B8,4.Nb5 : l’échec qui casse le schéma,d8a5,Qa5+,0,1,PASS,d8a5,Qa5+,220,220,d8a5 b5c3 c5d4 d1d4 b8c6 d4a4 a5a4 c3a4 e7e5 f4g3 c8d7 e1c1 a8c8 a4c3 d5d4 c3b5 c6b4 e2e3 c8c2 c1b1,Qa5+ Nc3 cxd4 Qxd4 Nc6 Qa4 Qxa4 Nxa4 e5 Bg3 Bd7 O-O-O Rc8 Nc3 d4 Nb5 Nb4 e3 Rxc2+ Kb1,500000,Stockfish 18
JOB-13,B8,Le double motif : clouage puis ...Qa5+,d8a5,Qa5+,7,2,PASS,a8c8,Rc8,47,40,d8a5 b5c3 e7e6 e1g1 c5d4 e3d4 a5b6 a1b1 a8c8 c3a4 b6a5 c2c3 b7b6 h2h3,Qa5+ Nbc3 e6 O-O cxd4 exd4 Qb6 Rb1 Rc8 Na4 Qa5 c3 b6 h3,500000,Stockfish 18
TOR-06,B8,4.Nbd2 : prendre le fou,e7e5,e5,0,1,PASS,e7e5,e5,88,88,e7e5 g5f3 e5e4 f3g1 c7c5 d4c5 f8c5 d2b3 c5b6 e2e3 e8g8,e5 Ngf3 e4 Ng1 c5 dxc5 Bxc5 Nb3 Bb6 e3 O-O,500000,Stockfish 18
VER-03,B8,4.dxc5 : encore ...d4!,d5d4,d4,0,1,PASS,d5d4,d4,93,93,d5d4 c3b1,d4 Nb1,500000,Stockfish 18
