line_id,bias_code,title,key_move_uci,editorial_our_simplicity_1_5,editorial_learning_longevity_1_5,our_playability_editorial_0_100,learning_longevity_editorial_0_100,engine_max_loss_cp,engine_safety_0_100,maia_human_error_proxy_0_100,maia_cross_elo_floor_0_100,maia_response_entropy_0_100,lichess_surprise_0_100,lichess_response_entropy_0_100,empirical_max_position_sample,lichess_human_error_rate_0_100,empirical_cross_elo_floor_0_100,evidence_completeness_0_100,practical_edge_score_0_100,promotion_status
ORD-01,B1,2.Bf4 : ...c5 puis le clouage ...Bg4,c8g4,5,5,100,100,40,40.0,100.0,100.0,85.11853343430319,41.66666666666667,100.0,4.0,50.0,50.0,100,66.66666666666667,ELIGIBLE_FOR_EDITORIAL_REVIEW
ORD-02,B1,2.Bf4 et 3.c3 : revenir au plan ...Nc6,d8b6,5,5,100,100,11,83.5,55.46286486438353,41.729325471147966,95.44995025501821,0.0,54.59147917027245,9.0,13.333333333333334,0.0,100,57.527763062990864,ELIGIBLE_FOR_EDITORIAL_REVIEW
COL-01,B1,3.e3 : sortir le fou avec ...Bf5,e7e6,5,5,100,100,20,70.0,25.205449304970568,11.93703444860261,85.11853343430319,80.0,0.0,5.0,0.0,0.0,100,54.280817395745586,ELIGIBLE_FOR_EDITORIAL_REVIEW
COL-10,B1,Zukertort : frapper par ...c5,b8c6,5,5,100,100,37,44.5,64.829629436392,0.0,82.00535925121312,0.0,33.33333333333333,2.0,0.0,0.0,100,45.8494444154588,ELIGIBLE_FOR_EDITORIAL_REVIEW
VER-01,B1,3...c5 : attaquer d4 immédiatement,e7e6,5,5,100,100,9,86.5,34.325720409963125,26.353332804593997,88.42096964839146,,,,,,65,,INSUFFICIENT_EVIDENCE
LON-02,B2,La dame recule en c2 : ...Bf5,c8f5,5,5,100,100,7,89.5,100.0,100.0,95.44995025501821,0.0,0.0,2.0,33.33333333333333,0.0,100,70.70833333333333,ELIGIBLE_FOR_EDITORIAL_REVIEW
LON-04,B2,Qc1 et reprise par le pion e,c8f5,5,5,100,100,40,40.0,77.03502665440391,43.72963638153285,95.44995025501821,,,,,,65,,INSUFFICIENT_EVIDENCE
LON-09,B2,b3 protège b2 : développer avec ...Bg4,c8g4,5,5,100,100,14,79.0,100.0,100.0,0.0,0.0,0.0,2.0,0.0,0.0,100,59.75,ELIGIBLE_FOR_EDITORIAL_REVIEW
JOB-12,B2,4.Nb1 : la pression ...Qb6,d8b6,4,4,80,80,53,20.5,78.5509026034348,3.728890767114844,30.72341349016185,,,,,,65,,INSUFFICIENT_EVIDENCE
TOR-10,B2,Bf4 puis ...Qb6 : double pression,d8b6,4,5,80,100,66,1.0,85.40430083062009,67.74630024655902,85.11853343430319,,,,,,65,,INSUFFICIENT_EVIDENCE
