line_id,original_engine_gate,key_move_gate,failure_type,maia_status,lichess_exact_position_status,concept_family_id,concept_family_title,decision,decision_reason,candidate_replacement_id,candidate_core_priority
ORD-01,REVIEW,PASS,LATER_CONTINUATION_REVIEW,NON_EXECUTE,NON_EXECUTE,LONDON_QB6_DOUBLE_PRESSURE,Londres : ordres de coups et double pression,KEEP_CORE,Défaut ultérieur modéré; concept transférable si la continuation est clarifiée.,ORD-01-R1,A
ORD-02,PASS,PASS,NO_ENGINE_FAILURE,NON_EXECUTE,NON_EXECUTE,LONDON_QB6_DOUBLE_PRESSURE,Londres : ordres de coups et double pression,KEEP_CORE,Coup-clé sain et pas de défaut moteur critique dans la ligne principale.,,A
COL-01,PASS,PASS,NO_ENGINE_FAILURE,NON_EXECUTE,NON_EXECUTE,COLLE_LIGHT_SQUARE_DEVELOPMENT,Colle/Zukertort : développement et cases centrales,KEEP_CORE,Coup-clé sain et pas de défaut moteur critique dans la ligne principale.,,A
COL-10,REVIEW,PASS,LATER_CONTINUATION_REVIEW,NON_EXECUTE,NON_EXECUTE,COLLE_LIGHT_SQUARE_DEVELOPMENT,Colle/Zukertort : développement et cases centrales,KEEP_CORE,Défaut ultérieur modéré; concept transférable si la continuation est clarifiée.,COL-10-R1,A
VER-01,PASS,PASS,NO_ENGINE_FAILURE,NON_EXECUTE,NON_EXECUTE,VERESOV_CENTER_BREAK,Veresov : rupture centrale et développement sobre,KEEP_CORE,Coup-clé sain et pas de défaut moteur critique dans la ligne principale.,,A
LON-02,PASS,PASS,NO_ENGINE_FAILURE,NON_EXECUTE,NON_EXECUTE,LONDON_QB6_DOUBLE_PRESSURE,"Londres : ...Qb6, d4 et b2 sous pression",KEEP_CORE,Coup-clé sain et pas de défaut moteur critique dans la ligne principale.,,A
LON-04,REVIEW,PASS,LATER_CONTINUATION_REVIEW,NON_EXECUTE,NON_EXECUTE,LONDON_QB6_DOUBLE_PRESSURE,"Londres : ...Qb6, d4 et b2 sous pression",KEEP_CORE,Défaut ultérieur modéré; concept transférable si la continuation est clarifiée.,LON-04-R1,A
LON-09,PASS,PASS,NO_ENGINE_FAILURE,NON_EXECUTE,NON_EXECUTE,LONDON_QB6_DOUBLE_PRESSURE,"Londres : ...Qb6, d4 et b2 sous pression",KEEP_CORE,Coup-clé sain et pas de défaut moteur critique dans la ligne principale.,,A
JOB-12,REJECT,PASS,LATER_CONTINUATION_REJECT,NON_EXECUTE,NON_EXECUTE,JOBAVA_CENTER_BREAK,Jobava : rupture centrale et cases noires,SIDELINE_ONLY,"Le concept du coup-clé tient, mais la suite doit être réparée avant MoveTrainer central.",JOB-12-R1,B
TOR-10,REJECT,PASS,LATER_CONTINUATION_REJECT,NON_EXECUTE,NON_EXECUTE,TORRE_E4_BISHOP_PRESSURE,Torre : pression sur e4 et question au fou,SIDELINE_ONLY,"Le concept du coup-clé tient, mais la suite doit être réparée avant MoveTrainer central.",TOR-10-R1,B
LON-01,PASS,PASS,NO_ENGINE_FAILURE,NON_EXECUTE,NON_EXECUTE,LONDON_QB6_DOUBLE_PRESSURE,"Londres : ...Qb6, d4 et b2 sous pression",KEEP_CORE,Coup-clé sain et pas de défaut moteur critique dans la ligne principale.,,A
LON-03,REVIEW,PASS,LATER_CONTINUATION_REVIEW,NON_EXECUTE,NON_EXECUTE,LONDON_QB6_DOUBLE_PRESSURE,"Londres : ...Qb6, d4 et b2 sous pression",KEEP_CORE,Défaut ultérieur modéré; concept transférable si la continuation est clarifiée.,LON-03-R1,A
LON-05,PASS,PASS,NO_ENGINE_FAILURE,NON_EXECUTE,NON_EXECUTE,LONDON_QB6_DOUBLE_PRESSURE,"Londres : ...Qb6, d4 et b2 sous pression",KEEP_CORE,Coup-clé sain et pas de défaut moteur critique dans la ligne principale.,,A
