line_id,bias_code,title,key_move_uci,editorial_our_simplicity_1_5,editorial_learning_longevity_1_5,our_playability_editorial_0_100,learning_longevity_editorial_0_100,engine_max_loss_cp,engine_safety_0_100,engine_gate,maia_human_error_proxy_0_100,maia_cross_elo_floor_0_100,maia_response_entropy_0_100,maia_status,lichess_surprise_0_100,lichess_response_entropy_0_100,empirical_max_position_sample,empirical_total_after_key,empirical_groups_observed,empirical_elo_bands_observed,empirical_speeds_observed,empirical_groups_ge_10,empirical_groups_ge_30,empirical_sample_gate,lichess_human_error_rate_0_100,empirical_cross_elo_floor_0_100,evidence_completeness_0_100,practical_edge_score_0_100,evidence_status,editorial_recommendation,promotion_status
ORD-01,B1,2.Bf4 : ...c5 puis le clouage ...Bg4,c8g4,5,5,100,100,40,40.0,REVIEW,19.178336963926377,10.5813134167648,75.7767540903363,AVAILABLE,0.0,82.05186574663897,36.0,50,10,5,2,1,0,LIMITED,21.25,0.0,100,43.18925054458896,LIMITED_TEST_DATA,ENGINE_REVIEW,LIMITED_TEST_DATA
ORD-02,B1,2.Bf4 et 3.c3 : revenir au plan ...Nc6,d8b6,5,5,100,100,11,83.5,PASS,10.444474558423734,5.544552716745718,67.2705497945141,AVAILABLE,0.0,72.3899674042735,89.0,91,7,4,2,3,1,LIMITED,5.612244897959183,0.0,100,48.84473240825336,LIMITED_TEST_DATA,LIMITED_EMPIRICAL_SUPPORT,LIMITED_TEST_DATA
COL-01,B1,3.e3 : sortir le fou avec ...Bf5,e7e6,5,5,100,100,20,70.0,PASS,8.392565755644409,5.749248687965518,66.7540947976722,AVAILABLE,14.260651629072695,65.61438403654705,36.0,28,7,5,2,0,0,INSUFFICIENT,17.142857142857142,0.0,100,49.47066431196822,MODEL_AND_ENGINE_ONLY,LIMITED_EMPIRICAL_SUPPORT,MODEL_AND_ENGINE_ONLY
COL-10,B1,Zukertort : frapper par ...c5,b8c6,5,5,100,100,37,44.5,REVIEW,19.137026196229233,5.836698253049086,78.46859326648442,AVAILABLE,0.0,53.929154055807416,10.0,29,9,5,2,0,0,INSUFFICIENT,12.407407407407407,0.0,100,42.09740578128624,MODEL_AND_ENGINE_ONLY,ENGINE_REVIEW,MODEL_AND_ENGINE_ONLY
VER-01,B1,3...c5 : attaquer d4 immédiatement,e7e6,5,5,100,100,9,86.5,PASS,5.35740658728123,3.232008896317712,69.68303039789188,AVAILABLE,100.0,50.0,2.0,3,2,2,2,0,0,INSUFFICIENT,0.0,0.0,100,57.42861098809219,MODEL_AND_ENGINE_ONLY,LIMITED_EMPIRICAL_SUPPORT,MODEL_AND_ENGINE_ONLY
LON-02,B2,La dame recule en c2 : ...Bf5,c8f5,5,5,100,100,7,89.5,PASS,46.56398526778001,11.799779122883738,46.4743600202179,AVAILABLE,0.0,10.987424673037829,11.0,15,4,3,2,1,0,INSUFFICIENT,27.27272727272727,0.0,100,61.17777960834882,MODEL_AND_ENGINE_ONLY,LIMITED_EMPIRICAL_SUPPORT,MODEL_AND_ENGINE_ONLY
LON-04,B2,Qc1 et reprise par le pion e,c8f5,5,5,100,100,40,40.0,REVIEW,4.418822941676966,1.3502723169967548,47.36833019113346,AVAILABLE,100.0,,1.0,0,0,0,0,0,0,INSUFFICIENT,,,80,,MODEL_AND_ENGINE_ONLY,ENGINE_REVIEW,MODEL_AND_ENGINE_ONLY
LON-09,B2,b3 protège b2 : développer avec ...Bg4,c8g4,5,5,100,100,14,79.0,PASS,33.315768914876905,30.05672989154702,55.37349277887314,AVAILABLE,30.000000000000004,0.0,10.0,2,2,2,1,0,0,INSUFFICIENT,0.0,0.0,100,52.747365337231535,MODEL_AND_ENGINE_ONLY,LIMITED_EMPIRICAL_SUPPORT,MODEL_AND_ENGINE_ONLY
JOB-12,B2,4.Nb1 : la pression ...Qb6,d8b6,4,4,80,80,53,20.5,REJECT,57.374993182889675,31.852269549496455,76.31854723015778,AVAILABLE,,,,0,0,0,0,0,0,INSUFFICIENT,,,65,,MODEL_AND_ENGINE_ONLY,ENGINE_REJECT,MODEL_AND_ENGINE_ONLY
TOR-10,B2,Bf4 puis ...Qb6 : double pression,d8b6,4,5,80,100,66,1.0,REJECT,35.81105974507494,25.224372436703558,61.49838621505682,AVAILABLE,100.0,,1.0,0,0,0,0,0,0,INSUFFICIENT,,,80,,MODEL_AND_ENGINE_ONLY,ENGINE_REJECT,MODEL_AND_ENGINE_ONLY
LON-01,B3,La dame blanche s’échange : ...c4!,a7b6,5,5,100,100,23,65.5,PASS,6.307538113799695,1.4442391727842685,65.47264369651418,AVAILABLE,0.0,87.43058692924285,16.0,25,3,2,2,1,0,INSUFFICIENT,0.0,0.0,100,42.321130717069956,MODEL_AND_ENGINE_ONLY,LIMITED_EMPIRICAL_SUPPORT,MODEL_AND_ENGINE_ONLY
LON-03,B3,La finale asymétrique : le plan ...b5,b6b5,4,5,80,100,39,41.5,REVIEW,21.369916779615195,10.378406053038212,65.75702778855575,AVAILABLE,0.0,100.0,3.0,4,2,1,2,0,0,INSUFFICIENT,25.0,0.0,100,41.83048751694228,MODEL_AND_ENGINE_ONLY,ENGINE_REVIEW,MODEL_AND_ENGINE_ONLY
LON-05,B3,Qc1 et reprise par le pion c,c8f5,4,5,80,100,17,74.5,PASS,42.04850102288641,37.136380346472116,61.96283072111425,AVAILABLE,100.0,,1.0,0,0,0,0,0,0,INSUFFICIENT,,,80,,MODEL_AND_ENGINE_ONLY,INSUFFICIENT_EVIDENCE,MODEL_AND_ENGINE_ONLY
JOB-11,B3,4.Bxb8 : reprendre avec la tour,a8b8,4,5,80,100,22,67.0,PASS,62.26837101240028,45.389794490706585,51.962446286606024,AVAILABLE,,,,0,0,0,0,0,0,INSUFFICIENT,,,65,,MODEL_AND_ENGINE_ONLY,INSUFFICIENT_EVIDENCE,MODEL_AND_ENGINE_ONLY
VER-05,B3,4.Bxf6 : reprendre du pion g,g7f6,3,5,60,100,129,0.0,REJECT,52.754705048015346,27.711784239443148,55.445457387524435,AVAILABLE,0.0,0.0,1.0,1,1,1,1,0,0,INSUFFICIENT,100.0,100.0,100,51.9132057572023,MODEL_AND_ENGINE_ONLY,ENGINE_REJECT,MODEL_AND_ENGINE_ONLY
LON-10,B4,Le pion c5 “gratuit” : ...Qxb2!,b2c3,4,4,80,80,121,0.0,REJECT,6.948833205076791,1.0756822231646064,51.90046103452338,AVAILABLE,0.0,0.0,1.0,1,1,1,1,0,0,INSUFFICIENT,0.0,0.0,100,21.04232498076152,MODEL_AND_ENGINE_ONLY,ENGINE_REJECT,MODEL_AND_ENGINE_ONLY
LON-11,B4,Nbd2 laisse b2 : la route de sortie ...Qxc3,b2c3,3,4,60,80,25,62.5,PASS,65.03073423378603,63.323393398004455,76.74781627893098,AVAILABLE,,,,0,0,0,0,0,0,INSUFFICIENT,,,65,,MODEL_AND_ENGINE_ONLY,INSUFFICIENT_EVIDENCE,MODEL_AND_ENGINE_ONLY
LON-12,B4,Bd3 oublie b2,b2c3,5,4,100,80,14,79.0,PASS,77.78273321959851,58.501799299860494,85.52800340807322,AVAILABLE,,,,0,0,0,0,0,0,INSUFFICIENT,,,65,,MODEL_AND_ENGINE_ONLY,INSUFFICIENT_EVIDENCE,MODEL_AND_ENGINE_ONLY
LON-15,B4,Qa4 ne sauve pas b2 : ...Qxb2,b6b2,4,5,80,100,63,5.5,REJECT,47.25402519506455,40.08814129411774,67.50599733314249,AVAILABLE,,,,0,0,0,0,0,0,INSUFFICIENT,,,65,,MODEL_AND_ENGINE_ONLY,ENGINE_REJECT,MODEL_AND_ENGINE_ONLY
PST-04,B4,3.Bxh6? : accepter le sacrifice,h8h6,5,4,100,80,17,74.5,PASS,2.720520129720919,0.0,86.66117490139871,AVAILABLE,,,,0,0,0,0,0,0,INSUFFICIENT,,,65,,MODEL_AND_ENGINE_ONLY,INSUFFICIENT_EVIDENCE,MODEL_AND_ENGINE_ONLY
LON-06,B5,Qc2 : poser la question avec ...Nh5,h2g3,5,5,100,100,20,70.0,PASS,16.99767809596018,14.627738295616735,77.94457705481163,AVAILABLE,,,,0,0,0,0,0,0,INSUFFICIENT,,,65,,MODEL_AND_ENGINE_ONLY,INSUFFICIENT_EVIDENCE,MODEL_AND_ENGINE_ONLY
LON-07,B5,Le fou se cache en g5 : ...h6 et ...g5,g7g5,4,4,80,80,27,59.5,REVIEW,5.4859386014091935,0.6500248663565039,13.30469778300875,AVAILABLE,,,,0,0,0,0,0,0,INSUFFICIENT,,,65,,MODEL_AND_ENGINE_ONLY,ENGINE_REVIEW,MODEL_AND_ENGINE_ONLY
TOR-02,B5,4.Bh4 : le coup machine ...h5!,h7h5,4,4,80,80,16,76.0,PASS,48.80630886559449,47.20294170183575,71.97009330392919,AVAILABLE,0.0,0.0,9.0,1,1,1,1,0,0,INSUFFICIENT,100.0,100.0,100,71.32094632983917,MODEL_AND_ENGINE_ONLY,LIMITED_EMPIRICAL_SUPPORT,MODEL_AND_ENGINE_ONLY
TOR-05,B5,4.h4 : ignorer l’intimidation,c7c5,5,5,100,100,37,44.5,REVIEW,16.758969376457237,10.957157109321653,73.54107449080072,AVAILABLE,0.0,0.0,1.0,1,1,1,1,0,0,INSUFFICIENT,100.0,100.0,100,63.63884540646858,MODEL_AND_ENGINE_ONLY,ENGINE_REVIEW,MODEL_AND_ENGINE_ONLY
PST-01,B5,2.Bg5 : demander au fou avec ...h6,c7c5,5,5,100,100,21,68.5,PASS,3.615723605156948,2.6686587394415784,65.95532286125135,AVAILABLE,83.05990783410138,0.0,35.0,4,3,3,1,0,0,INSUFFICIENT,0.0,0.0,100,50.97334932418368,MODEL_AND_ENGINE_ONLY,LIMITED_EMPIRICAL_SUPPORT,MODEL_AND_ENGINE_ONLY
ORD-09,B6,h4 précoce : riposter au centre,b8d7,5,5,100,100,25,62.5,PASS,62.16761316917733,45.51289020828262,85.42825156362622,AVAILABLE,,,,0,0,0,0,0,0,INSUFFICIENT,,,65,,MODEL_AND_ENGINE_ONLY,INSUFFICIENT_EVIDENCE,MODEL_AND_ENGINE_ONLY
TOR-08,B6,4.e3 : le coup concret ...f6,f7f6,4,4,80,80,133,0.0,REJECT,42.56087311701713,33.920898087272136,34.31077188374332,AVAILABLE,100.0,,2.0,0,0,0,0,0,0,INSUFFICIENT,,,80,,MODEL_AND_ENGINE_ONLY,ENGINE_REJECT,MODEL_AND_ENGINE_ONLY
TOR-09,B6,Bh4-h5-f6 : échanger puis enfermer,g7g5,3,5,60,100,85,0.0,REJECT,14.296952121205914,9.123735776045649,47.991405668572334,AVAILABLE,,,,0,0,0,0,0,0,INSUFFICIENT,,,65,,MODEL_AND_ENGINE_ONLY,ENGINE_REJECT,MODEL_AND_ENGINE_ONLY
STO-01,B6,Stonewall : fermer par ...c4!,c8f5,5,5,100,100,93,0.0,REJECT,3.4985132769054164,2.81882299596379,61.90711876391044,AVAILABLE,,,,0,0,0,0,0,0,INSUFFICIENT,,,65,,MODEL_AND_ENGINE_ONLY,ENGINE_REJECT,MODEL_AND_ENGINE_ONLY
BDG-01,B6,Blackmar-Diemer : accepter avec ...exf3,c8f5,5,5,100,100,28,58.0,REVIEW,11.5705725731884,4.783238721865854,74.64352589164776,AVAILABLE,26.884452197580554,83.5488923671775,89.0,36,9,5,2,0,0,LIMITED,38.51851851851852,0.0,100,53.553660735365945,LIMITED_TEST_DATA,ENGINE_REVIEW,LIMITED_TEST_DATA
ORD-10,B7,h3 précoce : prendre l’initiative,d8b6,5,5,100,100,35,47.5,REVIEW,87.78258213809559,73.24303446833513,63.80168621220127,AVAILABLE,,,,0,0,0,0,0,0,INSUFFICIENT,,,65,,MODEL_AND_ENGINE_ONLY,ENGINE_REVIEW,MODEL_AND_ENGINE_ONLY
JOB-06,B7,4.f3 : ouvrir d4 avant l’attaque,b8c6,5,4,100,80,131,0.0,REJECT,23.234520047378208,11.539810139253838,65.23578645107368,AVAILABLE,,,,0,0,0,0,0,0,INSUFFICIENT,,,65,,MODEL_AND_ENGINE_ONLY,ENGINE_REJECT,MODEL_AND_ENGINE_ONLY
JOB-09,B7,4.a3 : un tempo décoratif,b8c6,5,4,100,80,50,25.0,REVIEW,74.6883959738768,66.12438045069048,62.30163108915087,AVAILABLE,,,,0,0,0,0,0,0,INSUFFICIENT,,,65,,MODEL_AND_ENGINE_ONLY,ENGINE_REVIEW,MODEL_AND_ENGINE_ONLY
JOB-10,B7,4.h4 : même sanction centrale,b8c6,5,5,100,100,73,0.0,REJECT,33.39142513653725,24.04205630131129,64.20477197633474,AVAILABLE,,,,0,0,0,0,0,0,INSUFFICIENT,,,65,,MODEL_AND_ENGINE_ONLY,ENGINE_REJECT,MODEL_AND_ENGINE_ONLY
VER-08,B7,4.f3 : ouvrir avant e4,b8c6,5,5,100,100,176,0.0,REJECT,36.041498898442455,32.028441488733606,74.55597069033688,AVAILABLE,,,,0,0,0,0,0,0,INSUFFICIENT,,,65,,MODEL_AND_ENGINE_ONLY,ENGINE_REJECT,MODEL_AND_ENGINE_ONLY
JOB-03,B8,4.dxc5 : la poussée machine ...d4!,d5d4,5,5,100,100,53,20.5,REJECT,76.82137757932742,52.203504928284225,46.50146054821091,AVAILABLE,0.0,0.0,3.0,4,4,3,2,0,0,INSUFFICIENT,75.0,0.0,100,60.39820663689911,MODEL_AND_ENGINE_ONLY,ENGINE_REJECT,MODEL_AND_ENGINE_ONLY
JOB-04,B8,4.Nb5 : l’échec qui casse le schéma,d8a5,5,5,100,100,19,71.5,PASS,10.58043947936843,5.968422704714472,24.895052389865878,AVAILABLE,0.0,33.33333333333333,8.0,10,6,3,2,0,0,INSUFFICIENT,25.0,0.0,100,50.712065921905264,MODEL_AND_ENGINE_ONLY,LIMITED_EMPIRICAL_SUPPORT,MODEL_AND_ENGINE_ONLY
JOB-13,B8,Le double motif : clouage puis ...Qa5+,d8a5,3,5,60,100,66,1.0,REJECT,2.731182729321049,1.1053234196506088,41.79335777989454,AVAILABLE,,,,0,0,0,0,0,0,INSUFFICIENT,,,65,,MODEL_AND_ENGINE_ONLY,ENGINE_REJECT,MODEL_AND_ENGINE_ONLY
TOR-06,B8,4.Nbd2 : prendre le fou,e7e5,5,5,100,100,42,37.0,REVIEW,50.66284013381682,33.45397840204297,65.66351508710785,AVAILABLE,100.0,,2.0,0,0,0,0,0,0,INSUFFICIENT,,,80,,MODEL_AND_ENGINE_ONLY,ENGINE_REVIEW,MODEL_AND_ENGINE_ONLY
VER-03,B8,4.dxc5 : encore ...d4!,d5d4,5,5,100,100,57,14.5,REJECT,30.92417485611159,6.091588643814109,43.31506261328656,AVAILABLE,100.0,,1.0,0,0,0,0,0,0,INSUFFICIENT,,,80,,MODEL_AND_ENGINE_ONLY,ENGINE_REJECT,MODEL_AND_ENGINE_ONLY
