course_order,lesson_id,source_line_id,bias_code,chapter_title,opening_family,player_title,tier,trigger,lesson_move_uci,lesson_move_san,trainer_stop_ply,lesson_goal,opponent_belief,black_plan,memory_rule
1,P11-01-ORD-01,ORD-01,B1,B1 — Pilotage automatique,Londres — ordres de coups,Sans c3 : développer avec ...Bg4,Essentiel,1. d4 d5 2. Bf4 c5 3. e3 Nc6 4. Nf3,c8g4,Bg4,8,Développer avec menace avant de sortir la dame.,"Sans c3, les Blancs peuvent dérouler leur développement sans contrainte.","Jouer ...e6 puis choisir Bxe2, Bh5 ou Bf5 selon la réponse.","Sans c3, développe ; avec c3, pense ...Qb6."
2,P11-02-ORD-02,ORD-02,B1,B1 — Pilotage automatique,Londres — ordres de coups,Avec c3 : transposer vers ...Qb6,Essentiel,1. d4 d5 2. Bf4 c5 3. c3 Nc6 4. e3 Nf6 5. Nf3,d8b6,Qb6,10,Revenir au plan principal par transposition.,c3 règle définitivement la pression sur d4.,"Si la dame recule, développer ...Bf5 ou jouer ...Nh5 selon la case du fou.",c3 protège le centre une fois ; b2 reste une cible.
3,P11-03-COL-01,COL-01,B1,B1 — Pilotage automatique,Colle et Zukertort,Contre le Colle : sortir le fou avant ...e6,Essentiel,1. d4 d5 2. Nf3 Nf6 3. e3,c8f5,Bf5,10,Sortir le fou c8 avec ...Bf5 avant de fermer sa diagonale.,Les Noirs joueront ...e6 automatiquement et enfermeront leur fou.,"Après Bxf5 exf5, contrôler e4 et utiliser la colonne e.","Fou dehors, pion e ensuite."
4,P11-04-VER-01,VER-01,B1,B1 — Pilotage automatique,Veresov et pseudo-Trompowsky,Contre Nc3–Bg5 : ...c5 puis ...e6,Essentiel,1. d4 d5 2. Nc3 Nf6 3. Bg5,c7c5,c5,10,Contester d4 avant que les Blancs ne jouent e4.,Nc3 et Bg5 garantissent un centre blanc sans tension.,"Développer ...e6, ...Nc6 et ...Be7 avant de décider des échanges.","Contre Nc3–Bg5, ...c5 arrive avant e4."
5,P11-05-COL-10,COL-10,B1,B1 — Pilotage automatique,Colle et Zukertort,Contre le Zukertort : ...c5 puis ...Nc6,Club,1. d4 d5 2. Nf3 Nf6 3. e3 e6 4. b3,c7c5,c5,12,Ouvrir le centre avant que le Zukertort ne termine son installation.,b3 et Bb2 donnent le temps de construire tranquillement une attaque.,"Jouer ...Nc6, ...Bd6, roquer, puis échanger en d4 si cela isole le pion.",Le Zukertort veut du temps ; prends-lui le centre.
6,P11-06-LON-02,LON-02,B2,B2 — Double cible et surcharge,Londres — noyau ...Qb6,Après Qc2 : gagner un tempo avec ...Bf5,Essentiel,1. d4 d5 2. Nf3 Nf6 3. Bf4 c5 4. e3 Nc6 5. c3 Qb6 6. Qb3 c4 7. Qc2,c8f5,Bf5,14,Développer le fou avec un nouveau tempo sur la dame.,Qc2 met fin aux gains de temps des Noirs.,"Jouer ...e6, ...Be7 et envisager ...Nh5 selon la case du fou.",Une dame déplacée deux fois peut encore être interrogée.
7,P11-07-LON-04,LON-04,B2,B2 — Double cible et surcharge,Londres — noyau ...Qb6,Après Qc1 : ouvrir la colonne c avec ...cxd4,Club,1. d4 d5 2. Nf3 Nf6 3. Bf4 c5 4. e3 Nc6 5. c3 Qb6 6. Qc1,c5d4,cxd4,14,Clarifier le centre et ouvrir la colonne c.,Qc1 défend b2 sans autre concession.,"Développer ...Bf5, ...e6 et placer une tour en c8.",Qc1 appelle ...cxd4.
8,P11-08-LON-09,LON-09,B2,B2 — Double cible et surcharge,Londres — noyau ...Qb6,Après b3 : déplacer la cible vers f3 avec ...Bg4,Club,1. d4 d5 2. Nf3 Nf6 3. Bf4 c5 4. e3 Nc6 5. c3 Qb6 6. b3,c8g4,Bg4,14,Changer de cible quand b2 est protégé.,b3 règle tous les problèmes créés par ...Qb6.,"Échanger en f3 si h3 le demande, puis jouer ...e6.","b2 sauvé, vise f3."
9,P11-09-LON-01,LON-01,B3,B3 — Simplification trompeuse,Londres — noyau ...Qb6,Après Qxb6 : reprendre avec ...axb6,Essentiel,1. d4 d5 2. Nf3 Nf6 3. Bf4 c5 4. e3 Nc6 5. c3 Qb6 6. Qb3 c4 7. Qxb6,a7b6,axb6,16,Accepter les pions doublés pour obtenir activité et espace.,L’échange des dames neutralise la pression noire.,Jouer ...Bf5 puis ...b5 et activer la tour a8.,Le pion a reprend et la colonne a travaille.
10,P11-10-LON-05,LON-05,B3,B3 — Simplification trompeuse,Londres — noyau ...Qb6,Après cxd4 : développer avec ...Bf5,Club,1. d4 d5 2. Nf3 Nf6 3. Bf4 c5 4. e3 Nc6 5. c3 Qb6 6. Qc1 cxd4 7. cxd4,c8f5,Bf5,16,Profiter de la structure après la reprise du pion c.,cxd4 donne aux Blancs une structure sans faiblesse.,"Jouer ...e6, ...Be7, roquer, puis envisager ...Nb4 et ...Rc8.",cxd4 libère b4.
11,P11-11-LON-03,LON-03,B3,B3 — Simplification trompeuse,Londres — noyau ...Qb6,Dans la finale : fixer l’aile-dame avec ...b5,Avancé,1. d4 d5 2. Nf3 Nf6 3. Bf4 c5 4. e3 Nc6 5. c3 Qb6 6. Qb3 c4 7. Qxb6 axb6 8. Nbd2,b6b5,b5,16,Transformer les pions doublés en majorité d’espace.,Les pions b6 et b7 resteront des faiblesses statiques.,Développer ...Bf5 et utiliser la colonne a après avoir fixé l’aile-dame.,Les pions doublés doivent bouger.
12,P11-12-PST-04,PST-04,B4,B4 — Le gain matériel prétendument gratuit,Veresov et pseudo-Trompowsky,Après Bxh6? : accepter avec ...Rxh6,Essentiel,1. d4 d5 2. Bg5 h6 3. Bxh6,h8h6,Rxh6,8,Accepter un sacrifice insuffisant sans paniquer.,Les Blancs croient que le pion gagné et le roque perturbé compensent le fou.,"Jouer ...Nf6 et ...c5, puis ramener la tour si nécessaire.",Un pion ne vaut pas un fou ; la tour h6 peut revenir.
13,P11-13-LON-12,LON-12,B4,B4 — Le gain matériel prétendument gratuit,Londres — noyau ...Qb6,Bd3 oublie b2 : ...Qxb2 puis ...Qxc3,Avancé,1. d4 d5 2. Nf3 Nf6 3. Bf4 c5 4. e3 Nc6 5. c3 Qb6 6. Bd3,b6b2,Qxb2,14,Prendre b2 seulement avec une route de fuite calculée.,Un développement normal comme Bd3 répond forcément aux menaces.,"Après Nbd2, jouer ...Qxc3 puis finir le développement.",Le pion est prenable quand la sortie de la dame est claire.
14,P11-14-PST-01,PST-01,B5,B5 — Peur et sur-réaction,Veresov et pseudo-Trompowsky,Contre 2.Bg5 : demander au fou avec ...h6,Essentiel,1. d4 d5 2. Bg5,h7h6,h6,8,Faire préciser immédiatement l’intention du fou.,Les Noirs développeront ...Nf6 sans poser de question.,"Après Bh4, jouer ...c5 et ouvrir le centre.",Questionne le fou avant de développer le cavalier.
15,P11-15-TOR-02,TOR-02,B5,B5 — Peur et sur-réaction,Torre,Après Bh4 : restreindre le fou avec ...h5,Club,1. d4 d5 2. Nf3 Nf6 3. Bg5 Ne4 4. Bh4,h7h5,h5,8,Réduire les cases du fou sans lancer une attaque prématurée.,Conserver le fou en h4 ne comporte aucun coût.,"Selon la réponse, jouer ...f6, ...c5 ou échanger en c3.",...h5 ferme une porte ; il ne cherche pas le mat.
16,P11-16-TOR-05,TOR-05,B5,B5 — Peur et sur-réaction,Torre,Contre h4 : répondre au centre avec ...c5,Club,1. d4 d5 2. Nf3 Nf6 3. Bg5 Ne4 4. h4,c7c5,c5,12,Répondre à une poussée d’aile par une action centrale.,h4 oblige les Noirs à répondre sur la même aile.,Jouer ...Nc6 puis ...Qb6 pour augmenter la pression.,"Contre une aile prématurée, frappe d4."
17,P11-17-LON-07,LON-07,B5,B5 — Peur et sur-réaction,Londres — noyau ...Qb6,Chasser le fou : ...h6 puis ...g5,Club,1. d4 d5 2. Nf3 Nf6 3. Bf4 c5 4. e3 Nc6 5. c3 Qb6 6. Qc2 Nh5 7. Bg5 h6 8. Bh4,g7g5,g5,20,Gagner de l’espace pour limiter le fou du Londres.,Le fou peut reculer plusieurs fois sans perdre de temps utile.,Clarifier d4 puis développer ...Bf5 ; ...g4 reste conditionnel.,"Chasse le fou, pas le roi."
18,P11-18-JOB-09,JOB-09,B7,B7 — Attaque d’aile avant le centre,Jobava,Après Qxd4 : gagner un tempo avec ...Nc6,Club,1. d4 d5 2. Nc3 Nf6 3. Bf4 c5 4. a3 cxd4 5. Qxd4,b8c6,Nc6,10,Développer avec tempo sur la dame blanche.,a3 prépare b4 sans concéder de temps au centre.,Gagner du développement et surveiller e5.,Un coup d’aile sans menace offre un tempo au centre.
19,P11-19-JOB-04,JOB-04,B8,B8 — Géométrie tactique humanisée,Jobava,Après Nb5 : exploiter le roi avec ...Qa5+,Essentiel,1. d4 d5 2. Nc3 Nf6 3. Bf4 c5 4. Nb5,d8a5,Qa5+,8,Exploiter immédiatement le cavalier éloigné et le roi au centre.,La menace Nc7+ rend Nb5 automatiquement dangereux pour les Noirs.,Reprendre d4 ou développer ...Na6 selon la réponse blanche.,Nb5 sans c3 disponible appelle ...Qa5+.
20,P11-20-TOR-06,TOR-06,B8,B8 — Géométrie tactique humanisée,Torre,"Nbd2 : échanger avec ...Nxg5, puis jouer ...e5",Club,1. d4 d5 2. Nf3 Nf6 3. Bg5 Ne4 4. Nbd2,e4g5,Nxg5,10,Échanger le fou actif avant de prendre le centre.,Nbd2 force le cavalier e4 à reculer.,"Après Nxg5, jouer ...e5 puis ...Nc6.","Échange d’abord, centre ensuite."
